Fuel Type Code,State,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Latitude,Longitude
ELEC,SC,,6,,34.77993955,-81.45735907
ELEC,CA,,3,,34.019875,-118.49151
ELEC,CA,,5,,37.806798,-122.419488
ELEC,CA,,12,2,34.010528,-118.4898
ELEC,CO,18,9,1,39.843886,-104.771138
ELEC,CO,,2,,39.953798,-105.166116
ELEC,MA,1,4,,42.372442,-71.122882
ELEC,IN,,2,,41.492057,-87.522819
ELEC,MI,,1,,42.962078,-85.659019
ELEC,IL,,2,,40.507796,-88.982897
ELEC,IL,,3,,40.511172,-88.984985
ELEC,WA,,2,,47.761878,-122.191915
ELEC,WA,,2,,47.679224,-122.12995
ELEC,WA,,2,,47.672359,-122.099034
ELEC,WA,,2,,47.734211,-122.147041
ELEC,WI,,1,,43.011411,-89.459112
ELEC,WI,,1,,43.096636,-89.500008
ELEC,NC,,2,,35.778416,-78.64347
ELEC,NC,,1,,35.77435,-78.642287
ELEC,TX,,2,1,30.20633,-97.75936
ELEC,CA,,1,,39.1458,-123.198497
ELEC,VA,,1,,36.910575,-80.31736
ELEC,VA,,4,,37.551409,-77.45233
ELEC,TN,,1,,36.010279,-84.268049
ELEC,TN,,1,,35.558371,-86.448276
ELEC,TX,,1,,32.408909,-99.771463
ELEC,TX,,2,,35.159354,-101.938937
ELEC,TX,,1,,32.676458,-97.087169
ELEC,TX,,1,1,30.374542,-97.731445
ELEC,TX,,1,,29.807253,-94.97383365
ELEC,TX,,1,,30.062535,-94.133511
ELEC,TX,,1,2,32.83907,-97.16206
ELEC,TX,,1,,30.639201,-96.30671
ELEC,TX,,1,,27.73082,-97.416019
ELEC,TX,,1,1,32.64609,-96.86376
ELEC,TX,,1,,33.775328,-96.58308
ELEC,TX,,1,,31.783928,-106.417267
ELEC,TX,,1,,31.724024,-106.302211
ELEC,TX,,1,1,32.72158,-97.47838
ELEC,TX,,1,1,32.92823,-97.09447
ELEC,TX,,1,,26.186259,-97.734663
ELEC,TX,,1,1,29.91328,-95.61141
ELEC,TX,,1,4,29.67646,-95.42258
ELEC,TX,,1,1,29.625565,-95.22531
ELEC,TX,,1,1,29.78628,-95.6005
ELEC,TX,,1,1,29.99016,-95.42236
ELEC,TX,,1,,29.990275,-95.275606
ELEC,TX,,1,2,32.83590365,-96.934158
ELEC,TX,,1,,29.775354,-95.817237
ELEC,TX,,1,,31.078549,-97.692745
ELEC,TX,,1,,27.528418,-99.458211
ELEC,TX,,1,,29.484543,-95.10255
ELEC,TX,,1,1,33.022937,-96.988337
ELEC,TX,,1,,32.553772,-94.727241
ELEC,TX,,,1,33.535048,-101.958266
ELEC,TX,,1,1,33.161606,-96.644662
ELEC,TX,,1,2,32.829838,-96.629967
ELEC,TX,,1,,32.024113,-102.151567
ELEC,TX,,1,,29.953433,-94.0071
ELEC,TX,,2,1,32.97135,-96.719803
ELEC,TX,,1,,29.534537,-95.772812
ELEC,TX,,1,1,30.54315305,-97.69371065
ELEC,TX,,1,,31.44646,-100.496244
ELEC,TX,,1,,29.543147,-98.57544
ELEC,TX,,1,,29.517253,-98.467365
ELEC,TX,,1,,29.457047,-98.625324
ELEC,TX,,1,,29.556508,-98.34469
ELEC,TX,,1,,30.4963137,-97.6809454
ELEC,TX,,1,,30.314894,-94.18396
ELEC,TX,,1,1,29.64607,-95.57668
ELEC,TX,,1,1,31.079653,-97.410328
ELEC,TX,,1,,32.31165413,-95.34249986
ELEC,TX,,1,,28.851423,-96.997881
ELEC,TX,,1,,31.495348,-97.160226
ELEC,TX,,1,,32.7561,-97.705239
ELEC,TX,,1,,33.88049,-98.545953
ELEC,VA,,3,1,38.80967,-77.12219
ELEC,VA,,2,1,38.8998,-77.46033
ELEC,VA,,2,1,38.08492599,-78.47341454
ELEC,VA,,1,1,38.85366,-77.32474
ELEC,VA,,2,1,37.04249,-76.38833
ELEC,VA,,2,1,38.760854,-77.459274
ELEC,VA,4,,,37.175139,-77.352948
ELEC,VA,,1,1,37.34598,-79.9627
ELEC,VA,,1,1,39.010459,-77.438399
ELEC,VA,,2,1,38.92684,-77.24096
ELEC,VA,,3,1,39.156514,-78.147297
ELEC,WA,,2,1,48.75573,-122.45411
ELEC,WA,,1,,47.562162,-122.684286
ELEC,WA,,2,1,47.45832,-122.33325
ELEC,WA,,2,,47.778229,-122.344838
ELEC,WA,,1,1,47.03101,-122.9298
ELEC,WA,,1,,46.236607,-119.128998
